Wall time,Step,Value
1706688314.1391191,19,0.5645856857299805
1706688315.485587,25,0.4997890889644623
1706688318.1654284,41,0.3916514217853546
1706688318.6832151,43,0.3821941614151001
1706688319.464817,46,0.37042397260665894
1706688322.0747457,57,0.33256328105926514
1706688325.47606,72,0.29550421237945557
1706688326.072478,75,0.2888638973236084
1706688329.8871295,95,0.2597294747829437
1706688332.3852317,107,0.24681732058525085
1706688336.7390597,127,0.23023702204227448
1706688341.9649482,156,0.2116815596818924
1706688342.4571495,159,0.2097739577293396
1706688344.559996,168,0.20420056581497192
1706688347.8842938,184,0.1967635601758957
1706688348.1728868,186,0.19677861034870148
1706688357.1853714,230,0.1799834966659546
1706688357.85858,235,0.17813128232955933
1706688361.0630245,250,0.17509029805660248
1706688362.3871486,256,0.17280042171478271
1706688363.56886,261,0.17124541103839874
1706688364.839204,268,0.16985845565795898
1706688365.7863696,274,0.16849690675735474
1706688372.6720858,309,0.1619366705417633
1706688373.0900984,311,0.16083474457263947
1706688374.471707,319,0.1598128080368042
1706688378.0676665,340,0.15548647940158844
1706688379.4519393,348,0.1554061621427536
1706688383.7769904,368,0.15217120945453644
1706688395.0724487,422,0.14596831798553467
1706688395.3730986,423,0.14596818387508392
1706688398.1855135,440,0.14414790272712708
1706688398.669524,443,0.14500339329242706
1706688399.1901348,446,0.1438213586807251
1706688402.5393586,461,0.142708882689476
1706688403.0747633,464,0.14222092926502228
1706688403.2542236,465,0.14263848960399628
1706688405.03915,475,0.1420183926820755
1706688408.367064,494,0.1412089616060257
1706688412.4716604,515,0.13958491384983063
1706688415.6793165,532,0.1387660950422287
1706688416.7391117,537,0.1388310343027115
1706688423.1390982,564,0.13632063567638397
1706688424.8396075,574,0.13603900372982025
1706688425.776319,580,0.13620975613594055
1706688427.079148,587,0.13637535274028778
1706688427.2585454,588,0.13651993870735168
1706688434.3844132,621,0.13411962985992432
1706688434.7750773,623,0.13437283039093018
1706688436.950346,635,0.1336197853088379
1706688438.6862905,642,0.13337229192256927
1706688438.875542,643,0.1330038160085678
1706688439.2748985,645,0.1332242786884308
1706688439.7721992,648,0.1337551474571228
1706688440.2392094,650,0.1329597383737564
1706688442.774855,662,0.13296279311180115
1706688444.473535,672,0.13291989266872406
1706688452.7743075,715,0.13196025788784027
1706688454.3600764,723,0.13106559216976166
1706688456.0721962,731,0.1312011182308197
1706688457.4661999,740,0.1310083419084549
1706688459.339138,753,0.13053476810455322
1706688459.9685721,757,0.1305965930223465
1706688462.0006137,766,0.1301385462284088
1706688462.5881517,770,0.13074463605880737
1706688463.067705,772,0.13075825572013855
1706688463.445021,774,0.13167548179626465
1706688464.6816235,781,0.12984615564346313
1706688465.4390438,786,0.129843607544899
1706688465.6677825,788,0.12985225021839142
1706688466.3391914,793,0.13003647327423096
1706688466.5691733,795,0.12938044965267181
1706688467.1673973,799,0.12910203635692596
1706688468.264833,803,0.1290731579065323
1706688469.2870207,809,0.12909241020679474
1706688469.4741209,810,0.12940560281276703
1706688474.7816405,833,0.12929025292396545
1706688475.4698918,837,0.1292106807231903
1706688481.6772795,870,0.12850090861320496
1706688482.8707857,877,0.12866410613059998
1706688484.4720836,883,0.1287720948457718
1706688487.1711133,897,0.12819847464561462
1706688488.180849,901,0.12852784991264343
1706688489.2970555,908,0.12823975086212158
1706688489.6680841,910,0.12866181135177612
1706688491.2730577,918,0.1284445971250534
1706688493.8391855,932,0.1288488656282425
1706688493.9665134,933,0.12809018790721893
1706688495.5749187,943,0.12841905653476715
1706688496.1695368,946,0.12753015756607056
1706688497.5695906,955,0.12751984596252441
1706688498.969548,963,0.12826833128929138
1706688500.8392098,972,0.12747667729854584
1706688501.0392678,973,0.12775777280330658
1706688501.9817154,979,0.12778447568416595
1706688502.1755397,980,0.12766455113887787
1706688503.3808947,985,0.12731021642684937
1706688506.5862327,1003,0.12742942571640015
1706688507.167646,1006,0.12726449966430664
1706688508.4658267,1015,0.12709154188632965
1706688514.6680584,1045,0.12739817798137665
1706688516.8863063,1058,0.12725326418876648
1706688518.350423,1064,0.12701530754566193
1706688518.7674043,1067,0.12706579267978668
1706688519.0812323,1069,0.12662620842456818
1706688519.7392266,1073,0.126582533121109
1706688520.6815193,1079,0.12701576948165894
1706688521.739366,1084,0.12711116671562195
