Wall time,Step,Value
1706702156.939554,20,0.2605777680873871
1706702161.939352,40,0.16454702615737915
1706702167.263508,60,0.1297074407339096
1706702173.3445249,80,0.1115482822060585
1706702179.0395114,100,0.09968289732933044
1706702184.4651232,120,0.09008346498012543
1706702189.639693,140,0.08239764720201492
1706702195.9394758,160,0.07555539906024933
1706702201.6728072,180,0.06985657662153244
1706702207.7556322,200,0.06459257006645203
1706702213.4506443,220,0.059812236577272415
1706702218.8394396,240,0.05575365945696831
1706702225.1682289,260,0.05182581767439842
1706702230.7392695,280,0.04885890707373619
1706702236.5567389,300,0.04602715000510216
1706702242.4800565,320,0.04351658746600151
1706702247.7393723,340,0.041343193501234055
1706702253.1406326,360,0.03932127729058266
1706702258.3402307,380,0.03768659010529518
1706702263.4649696,400,0.0359940230846405
1706702269.4696283,420,0.03439722955226898
1706702276.0592177,440,0.03300602361559868
1706702282.5404677,460,0.03171736001968384
1706702287.341421,480,0.03071865811944008
1706702292.539444,500,0.030134903267025948
1706702297.5600736,520,0.02883119136095047
1706702304.439264,540,0.028025688603520393
1706702309.2394335,560,0.026923950761556625
1706702314.97705,580,0.026191184297204018
1706702319.960113,600,0.02538224868476391
1706702325.5654416,620,0.024928433820605278
1706702330.1697989,640,0.02417076751589775
1706702336.4392219,660,0.023565439507365227
1706702343.0397122,680,0.02299370989203453
1706702348.2403014,700,0.02254466339945793
1706702354.7606497,720,0.022166112437844276
1706702360.7395523,740,0.021649891510605812
1706702365.7670424,760,0.02114364504814148
1706702371.1452308,780,0.020765453577041626
1706702376.9395182,800,0.020442677661776543
1706702382.1677256,820,0.020219791680574417
1706702387.7450323,840,0.01980486698448658
1706702393.4661071,860,0.01998128741979599
1706702398.770437,880,0.01934909261763096
1706702405.2724912,900,0.018943309783935547
1706702412.2402804,920,0.018900051712989807
1706702418.2391255,940,0.018510108813643456
1706702424.1669555,960,0.018324000760912895
1706702428.7643552,980,0.01831524819135666
1706702434.2690558,1000,0.01789984479546547
1706702438.7417498,1020,0.017538635060191154
1706702444.5696213,1040,0.017584579065442085
1706702449.5680392,1060,0.017366280779242516
1706702456.2604585,1080,0.017036860808730125
1706702462.4394894,1100,0.017037132754921913
1706702468.775246,1120,0.01678418181836605
1706702474.7593925,1140,0.016639212146401405
1706702479.9392095,1160,0.016578804701566696
1706702485.0392199,1180,0.016614502295851707
1706702490.349072,1200,0.0163975078612566
1706702496.2868025,1220,0.016267767176032066
1706702502.7501554,1240,0.016012486070394516
1706702509.3400779,1260,0.016246706247329712
1706702515.039404,1280,0.016238631680607796
1706702519.860706,1300,0.015725726261734962
1706702525.6653607,1320,0.015674788504838943
1706702531.8392606,1340,0.015698933973908424
1706702537.0611699,1360,0.01564873196184635
1706702542.5548043,1380,0.015397496521472931
1706702548.8679204,1400,0.015412569046020508
1706702553.8394418,1420,0.015278895385563374
1706702559.4392054,1440,0.01520902942866087
1706702564.3392293,1460,0.015100548043847084
1706702570.0692856,1480,0.015103348530828953
1706702576.0391665,1500,0.015038530342280865
1706702581.7584045,1520,0.014982144348323345
1706702587.0392382,1540,0.014943797141313553
1706702592.0394204,1560,0.014899739995598793
1706702598.4763315,1580,0.015156537294387817
1706702604.140446,1600,0.014910975471138954
1706702608.9691083,1620,0.014738251455128193
1706702613.862011,1640,0.014711128547787666
1706702619.0394533,1660,0.014665507711470127
1706702625.0391579,1680,0.014634943567216396
1706702630.789614,1700,0.014625143259763718
1706702636.4393642,1720,0.014600948430597782
1706702641.3534253,1740,0.014706202782690525
1706702646.968219,1760,0.014603934250772
1706702654.057293,1780,0.014766644686460495
1706702659.7392,1800,0.014528433792293072
1706702665.0393584,1820,0.014491125009953976
1706702669.8392076,1840,0.014507136307656765
1706702675.3392723,1860,0.014426646754145622
1706702680.3595982,1880,0.014419527724385262
1706702686.240058,1900,0.01452985592186451
1706702691.6507752,1920,0.014345439150929451
1706702697.0602794,1940,0.014463509432971478
1706702702.4653838,1960,0.014334443025290966
1706702707.4391696,1980,0.014234918169677258
1706702712.7394426,2000,0.014320829883217812
1706702718.639323,2020,0.014235050417482853
1706702724.6655107,2040,0.014421233907341957
1706702729.468221,2060,0.01428038626909256
1706702734.1571128,2080,0.014281490817666054
1706702738.7577765,2100,0.014154590666294098
1706702744.1687524,2120,0.014314672909677029
1706702749.5734782,2140,0.01411114539951086
1706702755.342143,2160,0.014232544228434563
1706702760.6391766,2180,0.014126832596957684
1706702766.839257,2200,0.014188647270202637
1706702772.0402002,2220,0.014100785367190838
1706702777.8392866,2240,0.01409270241856575
1706702782.9530354,2260,0.014172560535371304
1706702788.74827,2280,0.014129974879324436
1706702793.9680924,2300,0.014135888777673244
1706702799.0514655,2320,0.014216477982699871
1706702805.5393498,2340,0.01413798425346613
1706702812.039103,2360,0.013996178284287453
1706702816.758828,2380,0.014018128626048565
1706702822.2394154,2400,0.014067200943827629
1706702827.8613832,2420,0.013994038105010986
1706702833.5391703,2440,0.014104385860264301
1706702838.9392273,2460,0.014424378052353859
1706702844.6418831,2480,0.013950875028967857
1706702850.1754677,2500,0.014163574203848839
1706702855.739165,2520,0.01404547318816185
1706702860.3583775,2540,0.014012699015438557
1706702866.2393653,2560,0.01406616810709238
1706702871.2668073,2580,0.014099719934165478
1706702876.553038,2600,0.014008015394210815
1706702881.1503735,2620,0.01393846794962883
1706702887.6445847,2640,0.014173557981848717
1706702893.254446,2660,0.014040756039321423
1706702898.2393034,2680,0.014015555381774902
1706702903.668029,2700,0.014009179547429085
1706702908.0709858,2720,0.014019274152815342
1706702913.8655665,2740,0.01393754780292511
1706702918.6393113,2760,0.014098339714109898
1706702923.8673115,2780,0.01388603076338768
1706702928.9391992,2800,0.013989413157105446
1706702934.6470113,2820,0.013921961188316345
1706702939.651818,2840,0.013992921449244022
1706702946.0645769,2860,0.014018945395946503
1706702952.339457,2880,0.01394233200699091
1706702958.0684116,2900,0.013956140726804733
1706702964.2403858,2920,0.014034164138138294
1706702971.139282,2940,0.01395290344953537
1706702977.9394388,2960,0.014008262194693089
1706702983.9393468,2980,0.013898750767111778
1706702989.148892,3000,0.014003373682498932
1706702994.7537708,3020,0.0139121413230896
1706703000.7529464,3040,0.01398308016359806
1706703006.6683125,3060,0.01386723481118679
1706703013.4399292,3080,0.013996973633766174
1706703019.7729352,3100,0.013884272426366806
1706703026.739379,3120,0.01402641274034977
1706703033.3392828,3140,0.013962156139314175
1706703039.1393406,3160,0.013873222284018993
1706703044.1675026,3180,0.013846725225448608
1706703049.5695608,3200,0.013882355764508247
1706703055.440436,3220,0.013952906243503094
1706703061.7715156,3240,0.013959591276943684
1706703068.1459057,3260,0.013897787779569626
1706703074.1392107,3280,0.013867025263607502
1706703079.4595947,3300,0.014107285998761654
1706703085.969457,3320,0.013851684518158436
1706703091.8392272,3340,0.013891487382352352
1706703096.7599854,3360,0.013819278217852116
1706703102.539072,3380,0.013919050805270672
1706703106.9392054,3400,0.013872800394892693
1706703111.6707516,3420,0.013910339213907719
1706703117.93955,3440,0.013845304027199745
1706703124.939283,3460,0.014121303334832191
1706703130.2393942,3480,0.013818667270243168
1706703135.845333,3500,0.01388716883957386
1706703141.5406804,3520,0.013870679773390293
1706703147.2394016,3540,0.013938906602561474
1706703151.569425,3560,0.013982377015054226
1706703156.0491815,3580,0.013814864680171013
1706703161.2545362,3600,0.013862093910574913
1706703166.8394163,3620,0.013948365114629269
1706703171.539447,3640,0.013806408271193504
1706703175.8758655,3660,0.013811248354613781
1706703181.173738,3680,0.013836142607033253
1706703186.0409615,3700,0.013861937448382378
1706703190.0676005,3720,0.013898794539272785
1706703194.7705808,3740,0.013925175182521343
1706703198.7515998,3760,0.013838560320436954
1706703203.5463686,3780,0.014012545347213745
1706703208.7445977,3800,0.013814037665724754
1706703213.2393112,3820,0.013966139405965805
1706703218.0483625,3840,0.013834730722010136
1706703222.842331,3860,0.014093142934143543
1706703228.3686593,3880,0.013951708562672138
1706703233.1591616,3900,0.013891614973545074
1706703237.2697577,3920,0.013975114561617374
1706703241.971002,3940,0.013826095499098301
1706703246.6611714,3960,0.013976173475384712
1706703251.443375,3980,0.013887941837310791
1706703256.540459,4000,0.013783004134893417
1706703261.7393847,4020,0.013938131742179394
1706703268.8394258,4040,0.01385892927646637
1706703275.15939,4060,0.013851954601705074
1706703281.462439,4080,0.013838538900017738
1706703286.358441,4100,0.013859391212463379
1706703291.739406,4120,0.013867752626538277
1706703296.655429,4140,0.01384617481380701
1706703301.2562456,4160,0.013857691548764706
1706703305.4393384,4180,0.013837654143571854
1706703310.1409101,4200,0.01382079441100359
1706703314.7563307,4220,0.013826004229485989
1706703318.8593066,4240,0.013794929720461369
1706703323.6398695,4260,0.014018197543919086
1706703328.5622184,4280,0.013895136304199696
1706703333.0470984,4300,0.013799523003399372
1706703337.4593382,4320,0.013838722370564938
1706703341.659282,4340,0.013791188597679138
1706703346.4619594,4360,0.013825730420649052
1706703350.6393397,4380,0.013801073655486107
1706703355.3408272,4400,0.013849841430783272
1706703359.355153,4420,0.013963975012302399
1706703363.3558946,4440,0.0138611551374197
1706703367.0547967,4460,0.013861030340194702
