Wall time,Step,Value
1706702156.4160109,19,47.0301513671875
1706702157.9245832,25,40.76418685913086
1706702162.4105816,41,31.615623474121094
1706702162.8460228,43,30.84360122680664
1706702163.5075333,46,29.918838500976562
1706702166.3291667,57,27.06082534790039
1706702170.6321237,72,24.541858673095703
1706702171.43915,75,24.147098541259766
1706702178.0026622,95,22.135059356689453
1706702181.302403,107,21.133560180664062
1706702186.2929976,127,20.037403106689453
1706702194.1421144,156,19.080150604248047
1706702195.296206,159,18.95466423034668
1706702197.9393227,168,18.742326736450195
1706702202.722836,184,18.286144256591797
1706702203.2455246,186,18.23503875732422
1706702216.5854423,230,17.340906143188477
1706702217.6954718,235,17.303373336791992
1706702221.7706952,250,17.072988510131836
1706702223.8325412,256,17.004682540893555
1706702225.6049385,261,16.953458786010742
1706702227.708937,268,16.88374900817871
1706702229.325494,274,16.82442855834961
1706702239.0785422,309,16.37124252319336
1706702239.5071216,311,16.438236236572266
1706702241.803725,319,16.277732849121094
1706702247.593153,340,16.1441650390625
1706702249.3067198,348,16.027250289916992
1706702255.0408244,368,15.839022636413574
1706702270.124741,422,15.547579765319824
1706702270.439313,423,15.483909606933594
1706702275.8391485,440,15.388898849487305
1706702277.4080846,443,15.363389015197754
1706702278.5398998,446,15.358675003051758
1706702282.9086614,461,15.347999572753906
1706702283.5392542,464,15.263643264770508
1706702283.7204838,465,15.255943298339844
1706702285.9392972,475,15.183351516723633
1706702290.7039306,494,15.158731460571289
1706702296.3392954,515,15.05309009552002
1706702301.6394508,532,14.967755317687988
1706702303.626256,537,14.952169418334961
1706702310.3300004,564,14.88705825805664
1706702313.3394701,574,14.867545127868652
1706702314.906803,580,14.85201644897461
1706702316.8259835,587,14.835015296936035
1706702317.0588863,588,14.805798530578613
1706702325.8068576,621,14.733843803405762
1706702326.2393067,623,14.697001457214355
1706702328.9391942,635,14.633581161499023
1706702331.220947,642,14.684120178222656
1706702331.68121,643,14.658084869384766
1706702332.3394206,645,14.642635345458984
1706702333.2393167,648,14.637310028076172
1706702333.7395794,650,14.694581985473633
1706702336.756838,662,14.632720947265625
1706702339.3392603,672,14.626887321472168
1706702352.94129,715,14.458505630493164
1706702355.719739,723,14.506609916687012
1706702358.5789402,731,14.437143325805664
1706702360.6391487,740,14.42416763305664
1706702364.127663,753,14.47076416015625
1706702365.0212462,757,14.394380569458008
1706702367.2418659,766,14.418508529663086
1706702368.2018094,770,14.410536766052246
1706702368.6640222,772,14.334579467773438
1706702369.2254615,774,14.461777687072754
1706702371.3972127,781,14.389500617980957
1706702372.987016,786,14.35354232788086
1706702373.7978215,788,14.378836631774902
1706702375.0560076,793,14.39965534210205
1706702375.4393294,795,14.371445655822754
1706702376.6018188,799,14.361663818359375
1706702377.5421758,803,14.344378471374512
1706702378.9089742,809,14.368532180786133
1706702378.9756484,810,14.271255493164062
1706702385.7186608,833,14.29577350616455
1706702386.526022,837,14.267897605895996
1706702396.0251021,870,14.161701202392578
1706702397.9068532,877,14.232186317443848
1706702399.6165347,883,14.307014465332031
1706702404.2393742,897,14.13877010345459
1706702405.8395512,901,14.176324844360352
1706702408.0074358,908,14.153239250183105
1706702408.8190966,910,14.278190612792969
1706702411.4439669,918,14.159345626831055
1706702415.9946702,932,14.136375427246094
1706702416.2992816,933,14.145158767700195
1706702419.0938287,943,14.131473541259766
1706702419.7228065,946,14.076776504516602
1706702422.7963488,955,14.13687515258789
1706702424.8393242,963,14.144355773925781
1706702426.9052582,972,14.092024803161621
1706702427.0158916,973,14.055815696716309
1706702428.3921804,979,14.114615440368652
1706702428.6133955,980,14.083855628967285
1706702430.5418692,985,14.040422439575195
1706702434.9068902,1003,14.093314170837402
1706702435.3268242,1006,14.016183853149414
1706702437.492027,1015,14.091388702392578
1706702445.8393776,1045,14.016058921813965
1706702448.8994036,1058,14.006381034851074
1706702450.894954,1064,13.98163890838623
1706702451.8040738,1067,13.988506317138672
1706702452.5861356,1069,13.999893188476562
1706702453.9050536,1073,13.965858459472656
1706702455.482926,1079,13.92779541015625
1706702457.4929404,1084,14.010931015014648
1706702460.5177438,1094,13.947725296020508
1706702462.2944493,1100,13.952529907226562
1706702463.8963194,1105,13.921395301818848
1706702466.6393046,1115,13.894280433654785
1706702478.8422437,1157,13.974509239196777
1706702480.1061165,1161,14.033044815063477
1706702480.506582,1162,13.937779426574707
1706702480.7392952,1163,13.89703369140625
1706702485.3318636,1181,13.88448429107666
1706702488.7288227,1194,13.861211776733398
1706702492.200215,1207,13.84847354888916
1706702499.9848723,1233,13.856788635253906
1706702504.5005276,1245,13.84494400024414
1706702507.9045498,1256,13.903441429138184
1706702508.9296803,1259,13.84608268737793
1706702509.777094,1262,13.827939987182617
1706702515.6156375,1282,13.820550918579102
1706702517.239042,1288,13.815932273864746
1706702519.027669,1295,13.803601264953613
1706702520.1250947,1301,13.812752723693848
1706702524.939054,1317,13.772297859191895
1706702525.4995964,1320,13.784136772155762
1706702528.6992843,1331,13.789222717285156
1706702529.5417051,1334,13.817269325256348
1706702530.8283372,1337,13.792850494384766
1706702531.2141268,1338,13.794404983520508
1706702544.1575408,1386,13.819809913635254
1706702545.4432504,1389,13.79261302947998
1706702546.2060845,1392,13.78080940246582
1706702546.6052406,1393,13.788008689880371
1706702552.3402374,1415,13.760663032531738
1706702555.7244925,1427,13.719961166381836
1706702558.1020048,1437,13.748005867004395
1706702559.6259568,1441,13.782549858093262
1706702566.0585237,1466,13.7133207321167
1706702566.2585084,1467,13.774197578430176
1706702569.6266153,1478,13.795370101928711
1706702571.9757957,1486,13.718320846557617
1706702573.0863655,1490,13.733256340026855
