Wall time,Step,Value
1705479747.6642318,20,0.0013254819205030799
1705479759.2121809,40,0.0012025621253997087
1705479771.2187915,60,0.0011649762745946646
1705479783.247879,80,0.0010245161829516292
1705479794.7561197,100,0.0009409845224581659
1705479806.5273058,120,0.0008426300482824445
1705479818.529157,140,0.0007719913846813142
1705479830.2500596,160,0.0007061933865770698
1705479842.0335786,180,0.0006446413462981582
1705479853.886833,200,0.0005969847552478313
1705479865.5557096,220,0.0005838065408170223
1705479876.9837754,240,0.0005207534413784742
1705479888.744494,260,0.00048327873810194433
1705479900.3052485,280,0.00043607622501440346
1705479912.0917425,300,0.0003994919534306973
1705479923.96783,320,0.0003703200491145253
1705479936.0082426,340,0.00036150976666249335
1705479947.7465854,360,0.00033153625554405153
1705479959.0363357,380,0.00030374302878044546
1705479970.3081944,400,0.00028825673507526517
1705479982.21313,420,0.00029353395802900195
1705479994.0109246,440,0.00027627451345324516
1705480005.0528538,460,0.0002541537687648088
1705480016.8060575,480,0.00022105959942564368
1705480028.7245994,500,0.0002274433063575998
1705480040.4068415,520,0.00021017696417402476
1705480051.8596613,540,0.000211547696380876
1705480064.18132,560,0.00020175561076030135
1705480076.166321,580,0.00017682634643279016
1705480087.8612866,600,0.0001910885766847059
1705480099.6298566,620,0.00018955105042550713
1705480111.4820309,640,0.00014276016736403108
1705480123.1068883,660,0.00014447601279243827
1705480134.5333354,680,0.00014551110507454723
1705480145.7268546,700,0.00014825757534708828
1705480157.0036664,720,0.00015740665548946708
1705480168.523681,740,0.00025996280601248145
1705480179.6710012,760,0.00016178938676603138
1705480190.7328696,780,0.00012142842024331912
1705480202.2831988,800,0.0001767181820468977
1705480214.0399833,820,0.00016860618779901415
1705480225.9286695,840,0.00013387987564783543
1705480237.6001465,860,0.00011912939953617752
1705480249.493852,880,0.00010895765444729477
1705480261.615368,900,0.0001253503724001348
1705480273.3489373,920,0.00010102342639584094
1705480284.9148626,940,0.00014602215378545225
1705480296.4152684,960,0.00010264428419759497
1705480307.8535585,980,0.0001935312175191939
1705480319.0070944,1000,0.00011669917876133695
1705480330.025479,1020,0.00013393386325333267
1705480341.4845347,1040,0.00010091036529047415
1705480352.682058,1060,8.950069604907185e-05
1705480363.7883322,1080,7.60823386372067e-05
1705480375.2404764,1100,0.00010422473860671744
1705480386.8890603,1120,9.211300493916497e-05
1705480398.111647,1140,7.327597995754331e-05
1705480409.7643087,1160,0.00010333951649954543
1705480421.1253388,1180,8.818425703793764e-05
1705480432.5609756,1200,8.817610796540976e-05
1705480444.737569,1220,7.770811498630792e-05
1705480456.4418314,1240,8.435054041910917e-05
1705480468.3992143,1260,7.921150245238096e-05
1705480480.1651492,1280,6.439621211029589e-05
1705480491.5038955,1300,7.208582246676087e-05
1705480502.968866,1320,6.408304034266621e-05
1705480514.3502336,1340,7.969455327838659e-05
1705480525.7404892,1360,7.803602784406394e-05
1705480537.0917525,1380,6.0674690757878125e-05
1705480548.7074187,1400,5.80746382183861e-05
1705480560.7231948,1420,7.601534889545292e-05
1705480572.9031372,1440,7.44295830372721e-05
1705480584.7251377,1460,6.017638588673435e-05
1705480596.7601733,1480,0.00012214991147629917
1705480611.2072308,1500,0.00011661821190500632
1705480624.597227,1520,6.250428123166785e-05
1705480637.514751,1540,5.608776700682938e-05
1705480650.3944154,1560,8.466161671094596e-05
1705480663.2203333,1580,7.280828867806122e-05
1705480675.2287564,1600,5.443151167128235e-05
1705480687.7921019,1620,0.00013047250104136765
1705480700.7197795,1640,7.699507841607556e-05
1705480713.8924878,1660,0.00016714345838408917
