Step,gamma,loss(train),loss(validate)
20,0.0013206778094172478,0.9626091718673706,1.0001602172851562
40,0.008511609397828579,0.7517848610877991,0.8259562253952026
60,0.015997257083654404,0.6000086665153503,0.6452779173851013
80,0.02133193612098694,0.5003701448440552,0.5136629343032837
100,0.026780106127262115,0.44142287969589233,0.43068093061447144
120,0.03286300599575043,0.3826136589050293,0.38370588421821594
140,0.03957837447524071,0.35313329100608826,0.3520299196243286
160,0.04741077497601509,0.3259047865867615,0.3402453064918518
180,0.0551358237862587,0.2901175022125244,0.33581092953681946
200,0.06231106072664261,0.2790900766849518,0.3350701332092285
220,0.0693129152059555,0.26097553968429565,0.33013761043548584
240,0.07584737986326218,0.24467627704143524,0.3247491419315338
260,0.08201459795236588,0.4103534519672394,0.31515663862228394
280,0.09189729392528534,0.2590658664703369,0.28070148825645447
300,0.10087738931179047,0.2264241874217987,0.3130737543106079
320,0.10714669525623322,0.21196554601192474,0.3154032528400421
340,0.11239304393529892,0.20885370671749115,0.304125040769577
360,0.11727862060070038,0.19622789323329926,0.3072890341281891
380,0.1217997744679451,0.1918863207101822,0.2870464026927948
400,0.12585487961769104,0.18357498943805695,0.2678280472755432
420,0.130525141954422,0.1861708164215088,0.2601972818374634
440,0.13527517020702362,0.18070441484451294,0.24442188441753387
460,0.139805406332016,0.16706980764865875,0.2470390498638153
480,0.1437462419271469,0.16581542789936066,0.21396102011203766
500,0.1480075865983963,0.16284872591495514,0.21943174302577972
520,0.15153823792934418,0.15664564073085785,0.1959642469882965
540,0.15484857559204102,0.2757399380207062,0.18628083169460297
560,0.1624230444431305,0.17077533900737762,0.17994800209999084
580,0.16805939376354218,0.1555749624967575,0.19291053712368011
600,0.1717519760131836,0.15140195190906525,0.16670255362987518
620,0.17458362877368927,0.14650650322437286,0.15497152507305145
640,0.17738653719425201,0.15295672416687012,0.1609468162059784
660,0.18026067316532135,0.1475331038236618,0.15400324761867523
680,0.1831800788640976,0.1454259157180786,0.14522738754749298
700,0.186020627617836,0.14241382479667664,0.14714229106903076
720,0.18869422376155853,0.1424415409564972,0.1401890516281128
740,0.1915099322795868,0.14043238759040833,0.14265425503253937
760,0.19379858672618866,0.1344243586063385,0.13940565288066864
780,0.19614531099796295,0.14474408328533173,0.1537887305021286
800,0.19964417815208435,0.13936276733875275,0.14675284922122955
820,0.20256349444389343,0.13167324662208557,0.13462424278259277
840,0.20451799035072327,0.1368599683046341,0.13841386139392853
860,0.20666466653347015,0.13320700824260712,0.13459084928035736
880,0.2089729905128479,0.1315738409757614,0.1332458257675171
900,0.2111813724040985,0.13473720848560333,0.14216390252113342
920,0.2136652171611786,0.13495035469532013,0.1301499903202057
940,0.2158203423023224,0.12732331454753876,0.12454569339752197
960,0.21730902791023254,0.12835852801799774,0.13218817114830017
980,0.21899323165416718,0.131208598613739,0.12613645195960999
1000,0.22078195214271545,0.1251288503408432,0.12775906920433044
1020,0.22248493134975433,0.13079781830310822,0.12331937998533249
1040,0.22435788810253143,0.12131353467702866,0.12349395453929901
1060,0.22602485120296478,0.12770769000053406,0.12716460227966309
1080,0.22762063145637512,0.12033215910196304,0.12657997012138367
1100,0.2293907254934311,0.11913248151540756,0.12374870479106903
1120,0.230786994099617,0.1194818764925003,0.12387862801551819
1140,0.23232600092887878,0.12183849513530731,0.12689246237277985
1160,0.23375357687473297,0.11737510561943054,0.12575040757656097
1180,0.23515087366104126,0.11769458651542664,0.11805105209350586
1200,0.23645389080047607,0.11695847660303116,0.11611945182085037
1220,0.2377641797065735,0.11626587808132172,0.11612062901258469
1240,0.2389563024044037,0.11865025758743286,0.11611279845237732
