Step,loss(train),loss(validate)
20,0.9631958603858948,1.0004123449325562
40,0.7515404224395752,0.8257985711097717
60,0.5998613834381104,0.6456334590911865
80,0.5006921291351318,0.513542115688324
100,0.4423663914203644,0.4309915006160736
120,0.3855089247226715,0.38492530584335327
140,0.35325121879577637,0.35622093081474304
160,0.33950018882751465,0.3331329822540283
180,0.29913070797920227,0.3417184054851532
200,0.27523180842399597,0.34274688363075256
220,0.28557509183883667,0.3373752236366272
240,0.24987976253032684,0.3336604833602905
260,0.24461247026920319,0.33161213994026184
280,0.22824130952358246,0.3305296301841736
300,0.23797953128814697,0.3139391839504242
320,0.21548356115818024,0.334121972322464
340,0.2092709243297577,0.33570730686187744
360,0.19816797971725464,0.3275020122528076
380,0.21812571585178375,0.27422061562538147
400,0.19295774400234222,0.3071978688240051
420,0.1853373497724533,0.2923138439655304
440,0.1749059557914734,0.29382604360580444
460,0.16855601966381073,0.26529839634895325
480,0.16583597660064697,0.22518037259578705
500,0.165422260761261,0.21065634489059448
520,0.1588667333126068,0.22931906580924988
540,0.1645207554101944,0.19219008088111877
560,0.15691109001636505,0.17395761609077454
580,0.1581975817680359,0.20328541100025177
600,0.15146397054195404,0.16871896386146545
620,0.15242360532283783,0.16079175472259521
640,0.15585803985595703,0.1682601422071457
660,0.15197452902793884,0.15510450303554535
680,0.15247046947479248,0.15470358729362488
700,0.14450518786907196,0.15007153153419495
720,0.1507224589586258,0.15970280766487122
740,0.1407727748155594,0.14456690847873688
760,0.13954059779644012,0.1426534652709961
780,0.14722010493278503,0.1416999250650406
800,0.14016959071159363,0.1450854241847992
820,0.13954965770244598,0.1447562873363495
840,0.1397937387228012,0.14179907739162445
860,0.13623079657554626,0.13428524136543274
880,0.13667745888233185,0.13558940589427948
900,0.13544097542762756,0.1373087763786316
920,0.13769447803497314,0.1326911449432373
940,0.13492794334888458,0.13150806725025177
960,0.12875619530677795,0.1408652514219284
980,0.13222290575504303,0.13143521547317505
1000,0.12835194170475006,0.1329178512096405
1020,0.12919758260250092,0.13823986053466797
1040,0.12331287562847137,0.13482283055782318
1060,0.1332877278327942,0.12389299273490906
1080,0.12299877405166626,0.12224413454532623
1100,0.12094666063785553,0.12272412329912186
1120,0.12567733228206635,0.13786481320858002
1140,0.123274065554142,0.1256835162639618
1160,0.12001622468233109,0.12524619698524475
1180,0.12331734597682953,0.12775591015815735
1200,0.12304896116256714,0.12095312029123306
1220,0.12530465424060822,0.11976700276136398
1240,0.12294387072324753,0.12904766201972961
1260,0.11982348561286926,0.11998416483402252
1280,0.11552350223064423,0.1181136816740036
1300,0.11444719135761261,0.11658908426761627
1320,0.11490918695926666,0.11626122146844864
1340,0.11949362605810165,0.1394578516483307
1360,0.1215386614203453,0.1186358779668808
1380,0.11403103172779083,0.11501438915729523
1400,0.11486583203077316,0.11888773739337921
1420,0.11136136949062347,0.11430466175079346
1440,0.11517880856990814,0.11261677742004395
1460,0.1131182536482811,0.12176564335823059
1480,0.11375891417264938,0.11535670608282089
1500,0.1137104257941246,0.12279517948627472
1520,0.1140311136841774,0.12291255593299866
1540,0.11572230607271194,0.11134118586778641
1560,0.11260706186294556,0.1156182587146759
1580,0.10993266850709915,0.1138833612203598
1600,0.11069979518651962,0.11382065713405609
1620,0.11758866161108017,0.11856915056705475
1640,0.11179757863283157,0.1120070070028305
1660,0.10691249370574951,0.11122409254312515
1680,0.11475729942321777,0.10721120983362198
1700,0.1080261766910553,0.10789620876312256
1720,0.10745501518249512,0.10799146443605423
1740,0.10810885578393936,0.10914924740791321
1760,0.1075858473777771,0.11290797591209412
1780,0.11425308883190155,0.11556561291217804
1800,0.11004268378019333,0.12067891657352448
1820,0.10608772933483124,0.1078207939863205
1840,0.10751239210367203,0.110206238925457
1860,0.11274551600217819,0.11650941520929337
1880,0.10667777806520462,0.11421049386262894
1900,0.10850609093904495,0.11094510555267334
1920,0.10540488362312317,0.10401622951030731
1940,0.10184605419635773,0.10751394927501678
1960,0.10569371283054352,0.11387436091899872
1980,0.10356778651475906,0.1036907285451889
2000,0.10456608980894089,0.10419907420873642
2020,0.10305023938417435,0.10425712168216705
2040,0.10157550871372223,0.10202387720346451
2060,0.10378488153219223,0.10503575950860977
2080,0.10389713197946548,0.11508747935295105
2100,0.11498264223337173,0.10500441491603851
2120,0.1017260029911995,0.10414110124111176
2140,0.10438314080238342,0.10501232743263245
2160,0.10601340979337692,0.10194852948188782
2180,0.10070695728063583,0.10364992171525955
2200,0.09945296496152878,0.10430283844470978
2220,0.09981458634138107,0.10351596027612686
2240,0.09823805093765259,0.10117881000041962
2260,0.0998498946428299,0.10943423211574554
2280,0.1081826388835907,0.09956091642379761
2300,0.09871911257505417,0.10551130771636963
2320,0.10021563619375229,0.09757611155509949
2340,0.0961369201540947,0.09983199834823608
2360,0.09867395460605621,0.09825600683689117
2380,0.10423172265291214,0.10124964267015457
2400,0.09660255908966064,0.09678572416305542
2420,0.09921874105930328,0.09797880798578262
2440,0.09654800593852997,0.09820163249969482
2460,0.09645824879407883,0.09766103327274323
2480,0.09537659585475922,0.09785223007202148
2500,0.09638077020645142,0.10167612135410309
2520,0.09867845475673676,0.10343502461910248
2540,0.09725760668516159,0.09971421211957932
2560,0.09976565092802048,0.10076271742582321
2580,0.09722017496824265,0.09774905443191528
2600,0.09699051827192307,0.09662478417158127
2620,0.0970713198184967,0.09699064493179321
2640,0.09610217809677124,0.09599753469228745
2660,0.09562792629003525,0.09878882020711899
2680,0.09465263783931732,0.09413225948810577
2700,0.09805328398942947,0.09480857849121094
2720,0.09408355504274368,0.0959160178899765
2740,0.09486700594425201,0.09297195822000504
2760,0.09450085461139679,0.10051430016756058
2780,0.09661499410867691,0.09839162975549698
2800,0.09101779013872147,0.09445689618587494
2820,0.09869211167097092,0.09593901038169861
2840,0.09499640017747879,0.092572882771492
2860,0.09937755763530731,0.09646569192409515
2880,0.0938168317079544,0.09214526414871216
2900,0.09312128275632858,0.0997370183467865
2920,0.09475302696228027,0.09503073990345001
2940,0.09973721206188202,0.0922590047121048
