Step,gamma0,gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,gamma7,loss(train),loss(validate)
1260,0.22765463590621948,0.09292064607143402,-0.0052563948556780815,-0.0001217860117321834,-0.0032778289169073105,0.0014264803612604737,-0.016823694109916687,-0.012899798341095448,0.11682815104722977,0.11650611460208893
1280,0.22931139171123505,0.09371625632047653,-0.005166662856936455,2.8583426683326252e-05,-0.003271909197792411,0.0014058479573577642,-0.016992436721920967,-0.012961878441274166,0.11167627573013306,0.11319098621606827
1300,0.23087410628795624,0.09451696276664734,-0.0051199207082390785,0.00010713931260397658,-0.003291487228125334,0.001363952411338687,-0.017145633697509766,-0.013038347475230694,0.11149189621210098,0.11322104930877686
1320,0.2323526293039322,0.09531854838132858,-0.005035425536334515,0.00022591359447687864,-0.0033051969949156046,0.0013333921087905765,-0.017311662435531616,-0.01311562117189169,0.11960329115390778,0.11703227460384369
1340,0.23385795950889587,0.09610839188098907,-0.004945145454257727,0.00033513561356812716,-0.0033519789576530457,0.0013031534617766738,-0.017481254413723946,-0.013197668828070164,0.11202133446931839,0.11549321562051773
1360,0.23549966514110565,0.09690231829881668,-0.004824291914701462,0.00043341462151147425,-0.00336358230561018,0.0012791611952707171,-0.017661407589912415,-0.013297445140779018,0.11757553368806839,0.12970705330371857
1380,0.2377070188522339,0.0977792888879776,-0.004661408718675375,0.000575606944039464,-0.0032880345825105906,0.0012857499532401562,-0.01781645230948925,-0.013376639224588871,0.1107877865433693,0.11788736283779144
1400,0.23917897045612335,0.09852016717195511,-0.0045739831402897835,0.0006979655590839684,-0.003314767964184284,0.0012334870407357812,-0.017991606146097183,-0.01345205307006836,0.11153507232666016,0.1119592934846878
1420,0.240613654255867,0.09937287122011185,-0.0044451006688177586,0.0007915032911114395,-0.0033273366279900074,0.001196124474518001,-0.018138546496629715,-0.013536274433135986,0.1102779284119606,0.11320900917053223
1440,0.24210327863693237,0.1000787690281868,-0.004377047065645456,0.0008753886795602739,-0.003323775716125965,0.0011750147677958012,-0.018275514245033264,-0.013626722618937492,0.11253386735916138,0.11009152233600616
1460,0.2435402274131775,0.10084085166454315,-0.004277263302356005,0.0009850988863036036,-0.003317418275400996,0.001143143163062632,-0.018404986709356308,-0.013717390596866608,0.10663269460201263,0.11037035286426544
1480,0.2451300472021103,0.10155448317527771,-0.004174095578491688,0.001086947857402265,-0.003305625868961215,0.001123136724345386,-0.01855163276195526,-0.01380977313965559,0.11321990936994553,0.1152968555688858
1500,0.24659578502178192,0.10232582688331604,-0.004072347655892372,0.0011743941577151418,-0.0032994200009852648,0.001068754238076508,-0.01869126595556736,-0.013893390074372292,0.10729941725730896,0.11709317564964294
1520,0.2480006366968155,0.10309530794620514,-0.00398035766556859,0.001274949056096375,-0.003301154589280486,0.0010269347112625837,-0.018846971914172173,-0.013974295929074287,0.11140350997447968,0.11977894604206085
1540,0.24960006773471832,0.10386333614587784,-0.0038670182693749666,0.0013949426356703043,-0.0032964760903269053,0.0010081864893436432,-0.01899757981300354,-0.014041506685316563,0.1130533516407013,0.107269786298275
1560,0.25107723474502563,0.10462678223848343,-0.0037049714010208845,0.0015229331329464912,-0.0032667687628418207,0.0010102182859554887,-0.019140416756272316,-0.014128799550235271,0.1080719456076622,0.10911858826875687
