Step,gamma0,gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,gamma7,loss(train),loss(validate)
560,0.13446997106075287,0.04066324234008789,0.00872927624732256,0.005767636001110077,0.020540453493595123,0.00762280123308301,-0.0018901515286415815,-0.0014603198505938053,0.13059119880199432,0.15331287682056427
580,0.13757871091365814,0.04207440838217735,0.009093688800930977,0.006486809346824884,0.020764624699950218,0.007951037026941776,-0.002003996865823865,-0.0014941466506570578,0.12276430428028107,0.13809853792190552
600,0.14055337011814117,0.04340682551264763,0.009450451470911503,0.007165218237787485,0.02094101719558239,0.008274066261947155,-0.002075738273561001,-0.0015167453093454242,0.12376183271408081,0.1374579817056656
620,0.143793523311615,0.04482368007302284,0.00986073911190033,0.007832755334675312,0.02115090750157833,0.008593244478106499,-0.002145444042980671,-0.0015422300202772021,0.12453722208738327,0.13344596326351166
640,0.1472877562046051,0.04636421054601669,0.010261575691401958,0.008511804044246674,0.021393833681941032,0.008908959105610847,-0.00215657870285213,-0.001563939033076167,0.11972058564424515,0.1360035538673401
660,0.15031033754348755,0.04776466265320778,0.01064281165599823,0.009199065156280994,0.021610340103507042,0.009232486598193645,-0.002195299370214343,-0.001580110634677112,0.12096628546714783,0.1294906884431839
680,0.15284714102745056,0.04903005063533783,0.01100716833025217,0.009916482493281364,0.021763598546385765,0.009573791176080704,-0.002237844979390502,-0.0016005891375243664,0.1109585389494896,0.12845879793167114
700,0.15576067566871643,0.05033230409026146,0.011378919705748558,0.010611465200781822,0.021938422694802284,0.009927707724273205,-0.0022650198079645634,-0.0016152316238731146,0.1315927356481552,0.14221331477165222
720,0.15901844203472137,0.051767390221357346,0.011791636236011982,0.011270984075963497,0.02215670235455036,0.010304574854671955,-0.002280537271872163,-0.0016147993737831712,0.11611022800207138,0.1290234476327896
740,0.16166764497756958,0.053054146468639374,0.012159583158791065,0.012013483792543411,0.022327296435832977,0.010651529766619205,-0.002290182514116168,-0.0016250577755272388,0.10952217876911163,0.12263378500938416
760,0.1644410938024521,0.05437178537249565,0.012533997185528278,0.012716894969344139,0.022561265155673027,0.011004035361111164,-0.0022818371653556824,-0.0016243159770965576,0.10906369239091873,0.12629368901252747
780,0.16747905313968658,0.055753838270902634,0.012915454804897308,0.013407502323389053,0.022765541449189186,0.011360027827322483,-0.00231757340952754,-0.0016142817912623286,0.12416176497936249,0.12474653869867325
800,0.17049787938594818,0.057075146585702896,0.013317877426743507,0.014158831909298897,0.022987714037299156,0.011729047633707523,-0.0023090511094778776,-0.0016169955488294363,0.1048806831240654,0.11580045521259308
820,0.1730606108903885,0.05829738825559616,0.013666855171322823,0.01492513157427311,0.023168450221419334,0.01209147647023201,-0.0022517330944538116,-0.0016159710939973593,0.10652317106723785,0.12407493591308594
840,0.17578023672103882,0.059571292251348495,0.014044730924069881,0.015628764405846596,0.02338000200688839,0.012429995462298393,-0.002239120891317725,-0.0016114248428493738,0.1087072417140007,0.12072291225194931
860,0.17836624383926392,0.060840606689453125,0.01442019920796156,0.016384590417146683,0.02358563244342804,0.01277688518166542,-0.002186632715165615,-0.0016090718563646078,0.10744751244783401,0.1156989336013794
880,0.18084849417209625,0.06202683970332146,0.014758731238543987,0.01708853989839554,0.023779967799782753,0.013126987032592297,-0.002126164035871625,-0.0016050240956246853,0.10516668856143951,0.10964059829711914
900,0.1832585334777832,0.06317751854658127,0.015122352167963982,0.01784970611333847,0.023971781134605408,0.01348054502159357,-0.002071242081001401,-0.0015995175344869494,0.11355232447385788,0.12260664999485016
920,0.1858130395412445,0.06437982618808746,0.015459710732102394,0.018568359315395355,0.024195607751607895,0.01384094450622797,-0.0019784627947956324,-0.0015880533028393984,0.10624781250953674,0.10642579942941666
940,0.18830102682113647,0.06552761048078537,0.015839142724871635,0.019327029585838318,0.02440487965941429,0.014198526740074158,-0.0019036891171708703,-0.0015707060229033232,0.10191179066896439,0.10488589107990265
960,0.19055867195129395,0.06672865152359009,0.01615431345999241,0.020012015476822853,0.024589866399765015,0.014516234397888184,-0.0018089282093569636,-0.0015671162400394678,0.10174848139286041,0.10366879403591156
980,0.1928541213274002,0.06783173233270645,0.016500376164913177,0.02075917087495327,0.02476753108203411,0.014858169481158257,-0.0017316255252808332,-0.001555699622258544,0.10295448452234268,0.10333546996116638
1000,0.1949869841337204,0.06897206604480743,0.016826819628477097,0.021484646946191788,0.024959009140729904,0.015171733684837818,-0.0016161721432581544,-0.0015468357596546412,0.10043683648109436,0.10254516452550888
1020,0.19718003273010254,0.07005377113819122,0.017178593203425407,0.022176984697580338,0.025161094963550568,0.015494941733777523,-0.0014950186014175415,-0.0015364906284958124,0.10326748341321945,0.10103161633014679
1040,0.1995118111371994,0.07123349606990814,0.017550131306052208,0.02290765568614006,0.025373175740242004,0.015819985419511795,-0.0013834339333698153,-0.0015236831968650222,0.1021386906504631,0.10073237121105194
1060,0.201620951294899,0.0722460150718689,0.017876282334327698,0.02361644059419632,0.02557595632970333,0.016167670488357544,-0.0012305483687669039,-0.0015201751375570893,0.09757936000823975,0.10967572033405304
1080,0.20395007729530334,0.07335150986909866,0.018254073336720467,0.024359701201319695,0.025788454338908195,0.01648762822151184,-0.0011014885967597365,-0.0015045689651742578,0.09476546198129654,0.09860499203205109
1100,0.20584315061569214,0.07437747716903687,0.018570231273770332,0.02505148947238922,0.025992080569267273,0.016783161088824272,-0.0009345469297841191,-0.0014908277662470937,0.09651432931423187,0.09781195223331451
1120,0.2078346610069275,0.07541484385728836,0.018927454948425293,0.025796303525567055,0.026201825588941574,0.01709660515189171,-0.000817926018498838,-0.001478556776419282,0.09475447237491608,0.10406865924596786
1140,0.2098090499639511,0.07648475468158722,0.01923971064388752,0.026469016447663307,0.02638769894838333,0.017392195761203766,-0.0006857713451609015,-0.001465562148950994,0.09101215749979019,0.09646040946245193
