Step,loss(train),loss(validate)
20,0.5841496586799622,0.5834867358207703
40,0.5123716592788696,0.5145037770271301
60,0.43845608830451965,0.46573787927627563
80,0.3783169984817505,0.43146175146102905
100,0.34130507707595825,0.4046848714351654
120,0.3133222758769989,0.3829880356788635
140,0.27953436970710754,0.3685453534126282
160,0.25784778594970703,0.3583354353904724
180,0.23377342522144318,0.3544718623161316
200,0.21175473928451538,0.34961169958114624
220,0.20635886490345,0.339677095413208
240,0.1942289024591446,0.3289668560028076
260,0.18408405780792236,0.31459030508995056
280,0.18632259964942932,0.311007022857666
300,0.17768622934818268,0.30290430784225464
320,0.16537730395793915,0.29256415367126465
340,0.16794778406620026,0.2755473256111145
360,0.1836637705564499,0.25487542152404785
380,0.1584738940000534,0.23844072222709656
400,0.14835643768310547,0.227778822183609
420,0.14612700045108795,0.2034372091293335
440,0.14665958285331726,0.19556012749671936
460,0.1436271220445633,0.19096159934997559
480,0.13961295783519745,0.18536637723445892
500,0.14821766316890717,0.19115912914276123
520,0.1333450973033905,0.1565297544002533
540,0.13282358646392822,0.15521103143692017
560,0.13427194952964783,0.1582014560699463
580,0.12702567875385284,0.14778128266334534
600,0.1279580295085907,0.1454363614320755
620,0.1236933171749115,0.13964572548866272
640,0.12241575866937637,0.13830864429473877
660,0.12457136809825897,0.1432449370622635
680,0.11203784495592117,0.13450561463832855
700,0.11818121373653412,0.1357908546924591
720,0.11887069046497345,0.14627189934253693
740,0.1169772818684578,0.13975131511688232
760,0.11378948390483856,0.12637676298618317
780,0.11368817836046219,0.12133771181106567
800,0.1096063107252121,0.1242617517709732
820,0.1066151037812233,0.11897176504135132
840,0.11270157992839813,0.12453034520149231
860,0.10874868929386139,0.12552037835121155
880,0.10878020524978638,0.11405172944068909
900,0.11237151175737381,0.13125671446323395
920,0.11005731672048569,0.11186843365430832
940,0.10511713474988937,0.1105685830116272
960,0.1031864657998085,0.1073809564113617
980,0.10827474296092987,0.10681157559156418
1000,0.10438290238380432,0.10764839500188828
1020,0.10852840542793274,0.10255297273397446
1040,0.10350167006254196,0.10495330393314362
1060,0.10076039284467697,0.11339357495307922
1080,0.09872876107692719,0.09969044476747513
1100,0.09687796235084534,0.10288012772798538
1120,0.09775913506746292,0.11871623992919922
1140,0.095393106341362,0.10376311838626862
1160,0.09578708559274673,0.09799282997846603
1180,0.0973101332783699,0.1002536192536354
1200,0.10146313905715942,0.10473287850618362
1220,0.09707086533308029,0.1018284410238266
1240,0.099280945956707,0.0954199880361557
1260,0.0944366529583931,0.09264612197875977
1280,0.09336906671524048,0.09742160141468048
1300,0.09557235985994339,0.1058279424905777
1320,0.09706670045852661,0.09453706443309784
1340,0.0947461649775505,0.09092894941568375
1360,0.09072420746088028,0.09753932058811188
1380,0.09042094647884369,0.08989778906106949
1400,0.09627390652894974,0.09623092412948608
1420,0.087715744972229,0.08877885341644287
1440,0.09327608346939087,0.0928284227848053
1460,0.09393306821584702,0.09230990707874298
1480,0.08694637566804886,0.09038911759853363
1500,0.08753074705600739,0.08935938775539398
1520,0.08647377789020538,0.08948008716106415
1540,0.08687013387680054,0.08976702392101288
1560,0.08790550380945206,0.08621707558631897
1580,0.09237656742334366,0.09539680182933807
1600,0.08519115298986435,0.08932821452617645
1620,0.08585479855537415,0.08886806666851044
1640,0.08480435609817505,0.08614709228277206
1660,0.08729679882526398,0.08662163466215134
1680,0.08711542189121246,0.09453746676445007
1700,0.08522973954677582,0.08540809899568558
1720,0.08673396706581116,0.09343605488538742
1740,0.08477450907230377,0.0874970555305481
1760,0.0843438133597374,0.0877562090754509
1780,0.08321002870798111,0.08656082302331924
1800,0.08226566016674042,0.08535395562648773
1820,0.08309531211853027,0.08461707830429077
1840,0.08765354007482529,0.08633016049861908
1860,0.08620145171880722,0.08257288485765457
1880,0.08144524693489075,0.08239611983299255
1900,0.07919584959745407,0.08259565383195877
1920,0.08669241517782211,0.08365520089864731
1940,0.08344919979572296,0.08454352617263794
1960,0.08775249868631363,0.08261601626873016
1980,0.07915277779102325,0.0832451730966568
2000,0.08324477821588516,0.095004603266716
2020,0.08260315656661987,0.08648794889450073
2040,0.08027277886867523,0.09195323288440704
2060,0.08113405108451843,0.08249551057815552
2080,0.07972019165754318,0.08171138912439346
2100,0.07831620424985886,0.07831726223230362
2120,0.07912639528512955,0.08179549872875214
2140,0.07962054759263992,0.0817410945892334
2160,0.07489970326423645,0.07759520411491394
2180,0.08107362687587738,0.07955026626586914
2200,0.0754757896065712,0.08140939474105835
2220,0.07382126152515411,0.07916323840618134
2240,0.07593365013599396,0.07915537804365158
2260,0.0832759216427803,0.08145315945148468
2280,0.07639051973819733,0.07875799387693405
2300,0.08116724342107773,0.0813755989074707
2320,0.07779550552368164,0.07972666621208191
2340,0.08016382902860641,0.07683606445789337
2360,0.07908894866704941,0.08037882298231125
2380,0.07968657463788986,0.08228679746389389
2400,0.07818927615880966,0.0775829404592514
2420,0.0764518454670906,0.07575012743473053
2440,0.07333722710609436,0.07557842880487442
2460,0.0776938796043396,0.07715137302875519
2480,0.076649971306324,0.07795899361371994
2500,0.07409543544054031,0.07681675255298615
2520,0.07335340976715088,0.07717163115739822
2540,0.07808031886816025,0.07955174893140793
2560,0.07530274987220764,0.0758260041475296
2580,0.07345263659954071,0.07629773765802383
2600,0.0723327249288559,0.08060896396636963
2620,0.07452484965324402,0.07533766329288483
2640,0.07589242607355118,0.07435362786054611
