Step,gamma0,gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,gamma7,loss(train),loss(validate)
20,0.0009450879297219217,-9.510690870229155e-05,0.00028078240575268865,0.0004107432905584574,0.0005519140977412462,0.00025422978796996176,-0.00035723665496334434,4.526349584921263e-05,0.46570056676864624,0.4969743490219116
40,0.003761718049645424,0.00013037462485954165,0.0005500642582774162,0.00023287665680982172,0.0029808294493705034,0.0008014796767383814,-0.0007483931258320808,6.424867024179548e-06,0.4161040782928467,0.4623745083808899
60,0.007724281400442123,0.000645647116471082,0.0006414969684556127,0.00014918333909008652,0.005846467800438404,0.0014544130535796285,-0.0008950608316808939,-0.00010102980741066858,0.3695547878742218,0.4401727318763733
80,0.013003404252231121,0.0014368238626047969,0.000704126781783998,0.00013578486687038094,0.008919413201510906,0.001977574313059449,-0.001005547121167183,-0.00032704786281101406,0.3396182358264923,0.42325323820114136
100,0.019785989075899124,0.0026238528080284595,0.0006817230605520308,0.00018438836559653282,0.011874595656991005,0.0023388706613332033,-0.0010714783566072583,-0.00047909049317240715,0.31487059593200684,0.40841883420944214
120,0.02807781659066677,0.004157142713665962,0.000546010211110115,0.0002063987631117925,0.01467127539217472,0.00268520787358284,-0.0010898351902142167,-0.0005744784721173346,0.2983150780200958,0.3973079323768616
140,0.0372953899204731,0.005947663448750973,0.0002981781726703048,0.0001854104921221733,0.017069635912775993,0.0030530670192092657,-0.001025429111905396,-0.0006856289692223072,0.2752394676208496,0.3903570771217346
160,0.04616609960794449,0.007984708063304424,4.4659333070740104e-05,0.00015105801867321134,0.018850581720471382,0.003529098117724061,-0.0008904602145776153,-0.0008844432304613292,0.25334811210632324,0.3867570459842682
180,0.053820814937353134,0.010421006008982658,-0.00035513369948603213,3.473242395557463e-05,0.02010062336921692,0.004129461012780666,-0.0008175236289389431,-0.0011211882811039686,0.23272192478179932,0.37925976514816284
200,0.06059810146689415,0.013060424476861954,-0.0007597196381539106,-0.0001332640676992014,0.02102433517575264,0.0046401554718613625,-0.0008292793063446879,-0.0013371622189879417,0.22381459176540375,0.3723440170288086
220,0.0667753741145134,0.015718448907136917,-0.0010958604980260134,-0.0002801240480039269,0.02177201770246029,0.005054732784628868,-0.0008538439869880676,-0.001510411617346108,0.20737861096858978,0.3657430112361908
240,0.07259375602006912,0.018405603244900703,-0.001287386054173112,-0.00041628803592175245,0.022292938083410263,0.005413138307631016,-0.0008779545314610004,-0.0016390553209930658,0.20090006291866302,0.34828296303749084
260,0.07820458710193634,0.021157851442694664,-0.0014177658595144749,-0.00048656738363206387,0.022826340049505234,0.0057139890268445015,-0.0008976021781563759,-0.0017265103524550796,0.18338605761528015,0.3398072421550751
280,0.08351963013410568,0.023833615705370903,-0.0015172434505075216,-0.000523613765835762,0.02321704663336277,0.005934458691626787,-0.0009515208075754344,-0.0017946347361430526,0.179029643535614,0.32731711864471436
300,0.0889442041516304,0.026585109531879425,-0.0015885521424934268,-0.00048634494305588305,0.02371220849454403,0.0061372192576527596,-0.001014256151393056,-0.0018501519225537777,0.1850447952747345,0.3034793734550476
320,0.09444631636142731,0.029346082359552383,-0.001647388911806047,-0.00041549361776560545,0.02425316907465458,0.006342437583953142,-0.0010724327294155955,-0.001882805721834302,0.17111828923225403,0.2968609929084778
340,0.09953141957521439,0.03194434195756912,-0.0016939472407102585,-0.00031659446540288627,0.02474345825612545,0.006517360918223858,-0.0011672808323055506,-0.0019008845556527376,0.16018708050251007,0.28264090418815613
360,0.10492219775915146,0.03468018025159836,-0.001721843029372394,-0.00013898922770749778,0.025280406698584557,0.006677451077848673,-0.001252219546586275,-0.0019003335619345307,0.16192549467086792,0.2688823938369751
380,0.11008462309837341,0.037352822721004486,-0.0017773552099242806,8.727492240723222e-05,0.025806576013565063,0.006848759483546019,-0.0013579222140833735,-0.0019049443071708083,0.15567459166049957,0.24342459440231323
400,0.11468535661697388,0.03984688222408295,-0.0017952823545783758,0.0003384718729648739,0.026275642216205597,0.006987256929278374,-0.0014796506147831678,-0.0019108856795355678,0.15331009030342102,0.22354458272457123
420,0.11915089935064316,0.042268797755241394,-0.0017970300978049636,0.0005915485671721399,0.02674461342394352,0.00712850596755743,-0.0015816936502233148,-0.001922497758641839,0.1466284990310669,0.20639750361442566
440,0.12367965281009674,0.04472833871841431,-0.0017323404317721725,0.0009220046340487897,0.027160145342350006,0.007280560210347176,-0.00167707575019449,-0.001946209347806871,0.15030574798583984,0.21823184192180634
460,0.12827132642269135,0.04716069623827934,-0.0016745494212955236,0.001258673844859004,0.02767013944685459,0.007439051289111376,-0.001765632419846952,-0.0019415200222283602,0.14170394837856293,0.18100188672542572
480,0.13259606063365936,0.04946283996105194,-0.0016161598032340407,0.0015939736040309072,0.028125109151005745,0.007575248833745718,-0.0018586642108857632,-0.0019573867321014404,0.13919085264205933,0.17911195755004883
500,0.13646243512630463,0.05162869766354561,-0.001541873556561768,0.0019521291833370924,0.028549818322062492,0.007704451680183411,-0.001953365746885538,-0.001968199387192726,0.13415686786174774,0.16376325488090515
520,0.14017270505428314,0.05369291454553604,-0.0014319319743663073,0.00230909651145339,0.028947822749614716,0.007832789793610573,-0.00202996376901865,-0.001998942345380783,0.1300860345363617,0.1552988737821579
540,0.14391525089740753,0.055790726095438004,-0.0012876195833086967,0.0027167885564267635,0.029325861483812332,0.007971197366714478,-0.002087127882987261,-0.0020167797338217497,0.13325592875480652,0.14905600249767303
560,0.14757438004016876,0.05778249353170395,-0.0011644699843600392,0.0030912694055587053,0.029731163755059242,0.008129904046654701,-0.002135487738996744,-0.002052279422059655,0.13000404834747314,0.15550486743450165
580,0.15118461847305298,0.059731561690568924,-0.0010356743587180972,0.0034741798881441355,0.030126698315143585,0.008263123221695423,-0.002168110804632306,-0.0020906077697873116,0.12173247337341309,0.1442115157842636
600,0.15490856766700745,0.0617213100194931,-0.000864219618961215,0.0038761391770094633,0.030555415898561478,0.008397013880312443,-0.0021880618296563625,-0.0021086360793560743,0.13039962947368622,0.14471465349197388
620,0.1586349606513977,0.06359617412090302,-0.0007250123308040202,0.004272502847015858,0.030960138887166977,0.008571220561861992,-0.002227017655968666,-0.0021331915631890297,0.12185639142990112,0.13208462297916412
640,0.16174262762069702,0.06533737480640411,-0.000565498077776283,0.004668193403631449,0.03133736550807953,0.008718568831682205,-0.00224288203753531,-0.0021726014092564583,0.11814121901988983,0.12856259942054749
660,0.16467590630054474,0.06702885031700134,-0.0004118341894354671,0.005053258966654539,0.03165293112397194,0.00883303489536047,-0.002238949527963996,-0.0022181663662195206,0.11895693838596344,0.12958180904388428
680,0.16776303946971893,0.06869931519031525,-0.0002321857464266941,0.005442001391202211,0.031997207552194595,0.008977933786809444,-0.0022531328722834587,-0.0022565703839063644,0.12081093341112137,0.14077334105968475
700,0.17087234556674957,0.07044652849435806,-6.837123510194942e-05,0.00581373693421483,0.03235636278986931,0.009133633226156235,-0.0022561531513929367,-0.0023024522233754396,0.1167827695608139,0.12427380681037903
720,0.17414335906505585,0.07211810350418091,0.0001251712383236736,0.006231308449059725,0.03273802995681763,0.009309849701821804,-0.00225006602704525,-0.0023390604183077812,0.11758390069007874,0.12262023985385895
740,0.17741285264492035,0.07367279380559921,0.0002749775885604322,0.006595850456506014,0.03313257172703743,0.009483030065894127,-0.0022543310187757015,-0.0023831422440707684,0.11759981513023376,0.13569429516792297
760,0.18071134388446808,0.0753006637096405,0.0004594377242028713,0.0070218611508607864,0.033466886729002,0.009642361663281918,-0.002239515073597431,-0.002406064188107848,0.1126883253455162,0.12077942490577698
780,0.18369221687316895,0.07676025480031967,0.0006467614439316094,0.007423014845699072,0.03380506858229637,0.009799554012715816,-0.0022436424624174833,-0.0024455361999571323,0.1128578707575798,0.11910010129213333
800,0.1864439696073532,0.07824458926916122,0.000806674244813621,0.007773506920784712,0.03414290025830269,0.009952973574399948,-0.0022370372898876667,-0.0024942534510046244,0.11190876364707947,0.11364912986755371
820,0.18910104036331177,0.07961609214544296,0.000951769994571805,0.008132323622703552,0.03446167707443237,0.010121517814695835,-0.002216579159721732,-0.002550251316279173,0.11177854984998703,0.12037938088178635
840,0.19174470007419586,0.08105021715164185,0.0011678017908707261,0.008539163507521152,0.0347808375954628,0.010279343463480473,-0.0021980551537126303,-0.002606408204883337,0.11059366166591644,0.11208051443099976
860,0.19425690174102783,0.08246227353811264,0.001378503511659801,0.00887584313750267,0.03507281094789505,0.010423417203128338,-0.0021837688982486725,-0.0026574356015771627,0.1108645424246788,0.11209075897932053
880,0.1967434585094452,0.08388984203338623,0.001577736809849739,0.009233689866960049,0.03537001833319664,0.010574543848633766,-0.0021596592850983143,-0.002706032246351242,0.11118165403604507,0.10864520072937012
900,0.1991395801305771,0.08517912775278091,0.001776007004082203,0.009566273540258408,0.03566492348909378,0.010718178004026413,-0.0021386633161455393,-0.0027637265156954527,0.1080106720328331,0.10738535225391388
920,0.20155110955238342,0.08647952973842621,0.0019554810132831335,0.009896313771605492,0.03596287965774536,0.01084401085972786,-0.0020896459463983774,-0.002815691754221916,0.10456141084432602,0.10457110404968262
940,0.20388637483119965,0.08772332966327667,0.00212769559584558,0.010223928838968277,0.03621971607208252,0.010984371416270733,-0.0020496912766247988,-0.0028621843084692955,0.10861954092979431,0.10895608365535736
960,0.2061799317598343,0.0889313668012619,0.002338938182219863,0.010558636859059334,0.03654845431447029,0.011151711456477642,-0.0020232691895216703,-0.0029169293120503426,0.10825219005346298,0.10282204300165176
980,0.20841404795646667,0.09008549898862839,0.0025354076642543077,0.01089053601026535,0.03683352470397949,0.011325925588607788,-0.001981856534257531,-0.0029734123963862658,0.10819506645202637,0.10555443912744522
1000,0.2107662409543991,0.09142032265663147,0.002781457733362913,0.011217921040952206,0.03711593523621559,0.01148510817438364,-0.001931512262672186,-0.0030347437132149935,0.10086384415626526,0.10307908058166504
1020,0.21287718415260315,0.09264770150184631,0.003018734510987997,0.011579230427742004,0.03739240765571594,0.011627143248915672,-0.0018821089761331677,-0.0030796746723353863,0.10024437308311462,0.10257454216480255
1040,0.2151332050561905,0.09384028613567352,0.003205585293471813,0.011905093677341938,0.03766455128788948,0.011776006780564785,-0.0018307243008166552,-0.0031300082337111235,0.11384651064872742,0.10182616859674454
