Step,gamma,loss(train),loss(validate)
20,0.0016923771472647786,0.4655279517173767,0.4968537986278534
40,0.007207205984741449,0.4167969524860382,0.46207016706466675
60,0.01475538220256567,0.3698089122772217,0.4410472810268402
80,0.02390235662460327,0.3393676280975342,0.42378419637680054
100,0.034784454852342606,0.3142606317996979,0.40909814834594727
120,0.04731915891170502,0.29761213064193726,0.3973305821418762
140,0.06053498014807701,0.27410566806793213,0.3893398642539978
160,0.07284194231033325,0.25267836451530457,0.3849489092826843
180,0.08303849399089813,0.23156578838825226,0.376606285572052
200,0.09165078401565552,0.21985208988189697,0.3684355616569519
220,0.09946158528327942,0.20495808124542236,0.35843372344970703
240,0.10689856112003326,0.20122891664505005,0.345546156167984
260,0.11401946097612381,0.1815931648015976,0.3329010307788849
280,0.12051080167293549,0.17623911798000336,0.3212319612503052
300,0.12672306597232819,0.17475531995296478,0.2989805340766907
320,0.1333560049533844,0.18289925158023834,0.2851415276527405
340,0.140191912651062,0.15937446057796478,0.2721606194972992
360,0.14596404135227203,0.1552460640668869,0.26148635149002075
380,0.15156781673431396,0.15533548593521118,0.24806548655033112
400,0.1566910594701767,0.14962877333164215,0.2208099365234375
420,0.16151092946529388,0.14609485864639282,0.19952093064785004
440,0.16605409979820251,0.1437845081090927,0.20423662662506104
460,0.17021891474723816,0.13957816362380981,0.18167364597320557
480,0.17392206192016602,0.13561180233955383,0.16658221185207367
500,0.17820455133914948,0.1333731710910797,0.15696319937705994
520,0.18149767816066742,0.1299634426832199,0.15103691816329956
540,0.1844819188117981,0.13250216841697693,0.14352858066558838
560,0.18710535764694214,0.1258363425731659,0.14186988770961761
580,0.1897105872631073,0.1259746104478836,0.14935478568077087
600,0.19272978603839874,0.12965954840183258,0.1354292780160904
620,0.1956569254398346,0.12357664853334427,0.13019093871116638
640,0.1977587789297104,0.12139362096786499,0.12588012218475342
660,0.1995311975479126,0.1187979057431221,0.1264021098613739
680,0.201477512717247,0.1239096149802208,0.13774944841861725
700,0.20355616509914398,0.1188349574804306,0.12319327890872955
