Step,gamma,loss(train),loss(validate)
20,0.0014720296021550894,0.5841230154037476,0.5834786295890808
40,0.005666352808475494,0.5121639966964722,0.5144467353820801
60,0.012479608878493309,0.43783169984817505,0.465597927570343
80,0.021351661533117294,0.3770195543766022,0.4312325119972229
100,0.03218230605125427,0.3391845226287842,0.4041719138622284
120,0.043995779007673264,0.31080394983291626,0.3820006251335144
140,0.05480048432946205,0.27710771560668945,0.36695998907089233
160,0.06352976709604263,0.2552115321159363,0.3565923273563385
180,0.07160378247499466,0.2307066172361374,0.3513030707836151
200,0.07957631349563599,0.20849984884262085,0.3432968854904175
220,0.08726309984922409,0.2006262242794037,0.3359854817390442
240,0.09495905041694641,0.20745250582695007,0.3253105878829956
260,0.1039411649107933,0.1866249144077301,0.31098324060440063
280,0.11084803193807602,0.1854323446750641,0.30068856477737427
300,0.11823178082704544,0.17402979731559753,0.2852635681629181
320,0.1247992217540741,0.16294150054454803,0.2763691544532776
340,0.13199147582054138,0.15792357921600342,0.25286075472831726
360,0.13883835077285767,0.16348309814929962,0.24512673914432526
380,0.14534226059913635,0.14778558909893036,0.22631968557834625
400,0.15148566663265228,0.14362064003944397,0.20560872554779053
420,0.15730369091033936,0.13881991803646088,0.1828508973121643
440,0.16342119872570038,0.13757897913455963,0.18423616886138916
460,0.16936153173446655,0.13679096102714539,0.17048390209674835
480,0.1745871901512146,0.1292920559644699,0.15575161576271057
500,0.18019361793994904,0.12794871628284454,0.1463260054588318
520,0.18542182445526123,0.123137466609478,0.1434456706047058
540,0.19067001342773438,0.1289217621088028,0.1446387767791748
560,0.19569125771522522,0.12300574034452438,0.1425187587738037
580,0.20074984431266785,0.12190975248813629,0.13497604429721832
600,0.2055576741695404,0.11842215806245804,0.13343001902103424
620,0.21035726368427277,0.11578308790922165,0.1277957260608673
640,0.21499305963516235,0.11333467066287994,0.1251717358827591
660,0.21928514540195465,0.11554579436779022,0.12161058932542801
680,0.22317613661289215,0.1074635311961174,0.12217780202627182
700,0.2274172306060791,0.11282363533973694,0.125998392701149
720,0.23166705667972565,0.109882652759552,0.13046211004257202
740,0.2356351613998413,0.10489865392446518,0.11727241426706314
760,0.23957569897174835,0.10466751456260681,0.11449483036994934
780,0.24308978021144867,0.10644987225532532,0.11397130787372589
800,0.24700503051280975,0.10089623928070068,0.11672671139240265
820,0.2507834732532501,0.09967292845249176,0.1154056265950203
840,0.2547094523906708,0.10205933451652527,0.10957178473472595
860,0.25818347930908203,0.1018000915646553,0.10525163263082504
880,0.2616342306137085,0.09955992549657822,0.10303366929292679
900,0.26583564281463623,0.10553878545761108,0.12104739248752594
920,0.26961326599121094,0.09603715687990189,0.1071503758430481
940,0.27311304211616516,0.1014336571097374,0.09912677109241486
960,0.2761608958244324,0.09823177009820938,0.09901955723762512
980,0.2794829308986664,0.09734035283327103,0.09683621674776077
1000,0.2823575735092163,0.09475585073232651,0.09337610751390457
1020,0.28515854477882385,0.09798069298267365,0.09629715979099274
1040,0.28845903277397156,0.09620831906795502,0.09945609420537949
1060,0.2913398742675781,0.09106840938329697,0.10690276324748993
1080,0.2943738102912903,0.08942794054746628,0.09273757040500641
1100,0.2969200313091278,0.09109307080507278,0.09020524471998215
1120,0.29976633191108704,0.09026096016168594,0.09928344190120697
1140,0.3024110198020935,0.08737620711326599,0.09135598689317703
1160,0.30506375432014465,0.0878276526927948,0.09013872593641281
1180,0.3075300455093384,0.08729999512434006,0.08882361650466919
1200,0.30998694896698,0.09132399410009384,0.09085753560066223
1220,0.3125245273113251,0.0870760977268219,0.09073740243911743
1240,0.3150337040424347,0.08750291913747787,0.08701063692569733
1260,0.31753838062286377,0.08617185801267624,0.08637788891792297
1280,0.31996846199035645,0.08402556926012039,0.08723831176757812
1300,0.32252922654151917,0.08674566447734833,0.08640048652887344
1320,0.3249911665916443,0.08441310375928879,0.08673962205648422
1340,0.32738715410232544,0.08367332816123962,0.08528459072113037
1360,0.3298707604408264,0.08396096527576447,0.09735541045665741
1380,0.3322661817073822,0.08317061513662338,0.08222053200006485
1400,0.33423468470573425,0.08735910058021545,0.08259328454732895
1420,0.33624905347824097,0.08055517822504044,0.08393588662147522
1440,0.33825764060020447,0.08522679656744003,0.08464358747005463
1460,0.34074121713638306,0.08442054688930511,0.08396340906620026
1480,0.3433331251144409,0.08090506494045258,0.08160023391246796
1500,0.345580130815506,0.0793767124414444,0.08054700493812561
1520,0.34781941771507263,0.07921025902032852,0.07970619201660156
1540,0.3497549593448639,0.07886641472578049,0.08071765303611755
1560,0.3517751693725586,0.0793648511171341,0.08309228718280792
1580,0.3538344204425812,0.07941080629825592,0.07979564368724823
1600,0.3559286892414093,0.07759761065244675,0.07920177280902863
1620,0.3578164279460907,0.07705887407064438,0.07901300489902496
1640,0.35981306433677673,0.0749804899096489,0.0790107399225235
1660,0.3616834282875061,0.07784776389598846,0.07757403701543808
1680,0.36332690715789795,0.07666783779859543,0.07950133085250854
1700,0.3655569851398468,0.07514848560094833,0.07582700252532959
