Step,gamma0,gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,gamma7,loss(train),loss(validate)
20,0.0009182044304907322,-9.109426173381507e-05,0.00022894168796483427,0.0004194080538582057,0.0003781527921091765,0.0001240914425579831,-0.00030456719105131924,-1.6650083125568926e-05,0.4655943214893341,0.49684518575668335
40,0.003712486708536744,4.489481943892315e-05,0.0005229692906141281,0.00020194079843349755,0.0028222608380019665,0.0005673657869920135,-0.0006348888855427504,-9.452846279600635e-05,0.4170737564563751,0.4620001018047333
60,0.007642360869795084,0.00038296778802759945,0.0006308355950750411,5.334106390364468e-05,0.005770022515207529,0.0010455390438437462,-0.0007128747529350221,-0.0002354976168135181,0.3705132007598877,0.4413832128047943
80,0.012812004424631596,0.0011151265352964401,0.000663534679915756,-6.295828643487766e-05,0.008870523422956467,0.0014722744235768914,-0.000804905139375478,-0.0004542644019238651,0.340609073638916,0.42414239048957825
100,0.01945624314248562,0.002291617449373007,0.0006369724287651479,-0.00019170694577042013,0.011928892694413662,0.0017784121446311474,-0.0008856827043928206,-0.0006012924131937325,0.315574049949646,0.4097251296043396
120,0.027651825919747353,0.003848739666864276,0.0005116474349051714,-0.0003460135485511273,0.014840332791209221,0.0020790761336684227,-0.0009384929435327649,-0.000717148301191628,0.2993689179420471,0.3980899155139923
140,0.036867011338472366,0.005698077846318483,0.000297890102956444,-0.0005313964793458581,0.017349470406770706,0.002386068692430854,-0.000924856576602906,-0.0008812886662781239,0.27571943402290344,0.3903268575668335
160,0.045791659504175186,0.007780261803418398,0.00014496353105641901,-0.0007419689791277051,0.01919260062277317,0.0027468607295304537,-0.0008477586670778692,-0.001132137724198401,0.25460729002952576,0.386510968208313
180,0.053375594317913055,0.01022562850266695,-6.914200639585033e-05,-0.0010237559909000993,0.02042742818593979,0.0031924881041049957,-0.0008021845715120435,-0.0014212445821613073,0.2330595999956131,0.37813863158226013
200,0.05998871102929115,0.012842882424592972,-0.00024834531359374523,-0.0013129302533343434,0.02134345844388008,0.003568772692233324,-0.0008117751567624509,-0.0016756070544943213,0.22225752472877502,0.3702014088630676
220,0.06591194123029709,0.01543295569717884,-0.00034990007407031953,-0.001560985459946096,0.022126035764813423,0.003869411302730441,-0.0008408697322010994,-0.0018785129068419337,0.20650255680084229,0.3641776442527771
240,0.07132880389690399,0.01804436556994915,-0.00030564371263608336,-0.0017864308319985867,0.02270207367837429,0.004151793662458658,-0.0008965763845480978,-0.0020453997422009706,0.20419947803020477,0.349717378616333
260,0.07647977024316788,0.020677480846643448,-0.00021613811259157956,-0.00197376380674541,0.023202214390039444,0.004416163079440594,-0.0009551056427881122,-0.002202344126999378,0.18537379801273346,0.3421153128147125
280,0.08129336684942245,0.023279868066310883,-6.855982792330906e-05,-0.002169213490560651,0.023565541952848434,0.004591205157339573,-0.0010202128905802965,-0.002362129744142294,0.18001896142959595,0.331855833530426
