Step,gamma,loss(train),loss(validate)
940,0.2668863832950592,0.10016357898712158,0.09862969070672989
960,0.2696657180786133,0.10119839757680893,0.10102393478155136
980,0.2727135717868805,0.09685879945755005,0.09672166407108307
1000,0.27530616521835327,0.09614919871091843,0.09423849731683731
1020,0.2779020369052887,0.10093925893306732,0.09971075505018234
1040,0.2809012234210968,0.09751565754413605,0.09940579533576965
1060,0.283495157957077,0.09354808181524277,0.10648031532764435
1080,0.28628477454185486,0.09072420001029968,0.0930367261171341
1100,0.2886086404323578,0.09270328283309937,0.09231708943843842
1120,0.29119399189949036,0.092466801404953,0.09876906871795654
1140,0.2934896945953369,0.08758693933486938,0.09238951653242111
1160,0.2958838939666748,0.08972851932048798,0.09323596954345703
1180,0.298073947429657,0.08842462301254272,0.08922223746776581
1200,0.30019816756248474,0.0912998765707016,0.09067308902740479
1220,0.3023853003978729,0.08832425624132156,0.0934499129652977
1240,0.30448129773139954,0.08956889063119888,0.08808445185422897
1260,0.3066631555557251,0.08815059065818787,0.08892975002527237
1280,0.3087037205696106,0.08568887412548065,0.08717556297779083
1300,0.31079354882240295,0.08882816880941391,0.08724148571491241
1320,0.3129085302352905,0.08678745478391647,0.08973726630210876
1340,0.3149193823337555,0.08449017256498337,0.08636897802352905
1360,0.31692391633987427,0.08760368078947067,0.09876251965761185
1380,0.3189248740673065,0.08459141850471497,0.08398862183094025
1400,0.32044440507888794,0.0882449820637703,0.0837475061416626
1420,0.3220246136188507,0.08192653208971024,0.08530373871326447
1440,0.32356971502304077,0.0859908014535904,0.08579547703266144
1460,0.3255927264690399,0.08715164661407471,0.08621308207511902
1480,0.32782965898513794,0.08317636698484421,0.08319251239299774
1500,0.3297279477119446,0.08110292255878448,0.08287283033132553
1520,0.3315642774105072,0.08194636553525925,0.08120957016944885
1540,0.3331245183944702,0.08165604621171951,0.0813639685511589
1560,0.3347761332988739,0.08243050426244736,0.08710625022649765
1580,0.3365601599216461,0.08752039074897766,0.08515496551990509
1600,0.33816227316856384,0.07916361838579178,0.08024103939533234
1620,0.33970677852630615,0.08004575222730637,0.07911163568496704
1640,0.3412124812602997,0.07804887741804123,0.07991068065166473
1660,0.34261229634284973,0.07882649451494217,0.07945117354393005
1680,0.34372812509536743,0.07744546234607697,0.08296399563550949
1700,0.34533366560935974,0.07765430957078934,0.077755406498909
1720,0.34653154015541077,0.08046284317970276,0.08664382994174957
1740,0.34794557094573975,0.07654420286417007,0.07839743793010712
1760,0.34913817048072815,0.07893535494804382,0.07651234418153763
1780,0.3504597544670105,0.07452856004238129,0.07873561978340149
1800,0.35194480419158936,0.07701298594474792,0.07810719311237335
1820,0.35325056314468384,0.07481268793344498,0.07748918235301971
1840,0.3542930781841278,0.07886333018541336,0.07842142879962921
1860,0.35563626885414124,0.0790858343243599,0.07696397602558136
1880,0.3567919135093689,0.0750737115740776,0.07530830800533295
1900,0.35783979296684265,0.07426650077104568,0.07625570148229599
1920,0.3590850234031677,0.07738713920116425,0.0777633786201477
1940,0.3602248430252075,0.07443544268608093,0.07579974085092545
1960,0.36117276549339294,0.07661782950162888,0.07844121754169464
1980,0.36228442192077637,0.07322625815868378,0.07801282405853271
2000,0.3633383512496948,0.07596851140260696,0.08923742920160294
2020,0.364962637424469,0.07697698473930359,0.076030433177948
2040,0.3660505712032318,0.07155614346265793,0.07777055352926254
2060,0.3671635091304779,0.07432776689529419,0.0776735320687294
2080,0.3679249584674835,0.07370904833078384,0.07698933780193329
2100,0.3688243627548218,0.07344638556241989,0.07364530116319656
2120,0.36956313252449036,0.07224076986312866,0.07579898834228516
2140,0.37046095728874207,0.07164828479290009,0.07342973351478577
2160,0.37123966217041016,0.06965654343366623,0.07143711298704147
2180,0.37184640765190125,0.07392539083957672,0.07216520607471466
2200,0.372661828994751,0.06974275410175323,0.07240582257509232
2220,0.37352368235588074,0.0673733577132225,0.071849524974823
2240,0.3741905689239502,0.07091754674911499,0.07277211546897888
2260,0.3753197193145752,0.07547041028738022,0.07239604741334915
2280,0.3762155771255493,0.07015423476696014,0.07072658836841583
2300,0.3766564726829529,0.07122690230607986,0.0711505338549614
2320,0.3773926794528961,0.06955072283744812,0.07002853602170944
2340,0.3781827688217163,0.07137488573789597,0.07051323354244232
2360,0.37897107005119324,0.0742763876914978,0.0761856734752655
2380,0.38012149930000305,0.07450474798679352,0.07363258302211761
2400,0.38098829984664917,0.07192172110080719,0.07406286150217056
2420,0.3816711902618408,0.07007629424333572,0.07004750519990921
2440,0.38220903277397156,0.06672995537519455,0.06884947419166565
2460,0.3827741742134094,0.07096606492996216,0.06963833421468735
2480,0.3833836019039154,0.07042326778173447,0.07278943061828613
2500,0.3840599060058594,0.06808672100305557,0.07169149070978165
2520,0.3847894072532654,0.0671907365322113,0.07233159244060516
2540,0.3853830397129059,0.06998132914304733,0.07124177366495132
2560,0.3857918679714203,0.06922555714845657,0.07281672954559326
2580,0.38647347688674927,0.06760770827531815,0.06941267102956772
2600,0.3873665928840637,0.0672515258193016,0.07387140393257141
2620,0.38785386085510254,0.06711909174919128,0.07043970376253128
2640,0.38849857449531555,0.06820838898420334,0.06990209221839905
2660,0.3890732526779175,0.06811583042144775,0.06753486394882202
2680,0.3895485997200012,0.06884437799453735,0.06829134374856949
2700,0.39007747173309326,0.06482719630002975,0.06930463016033173
2720,0.39065083861351013,0.06711467355489731,0.07160220295190811
2740,0.39109575748443604,0.06813392788171768,0.07061568647623062
2760,0.3917197585105896,0.06482093781232834,0.06918533146381378
2780,0.3921220302581787,0.0671645849943161,0.07165692746639252
2800,0.3929511308670044,0.06921212375164032,0.07137220352888107
2820,0.3936178386211395,0.06765690445899963,0.06759925186634064
2840,0.39384299516677856,0.06898729503154755,0.06620132923126221
2860,0.39428338408470154,0.06534425914287567,0.06592614203691483
2880,0.3946036398410797,0.06685806065797806,0.06763613224029541
2900,0.39515888690948486,0.06567947566509247,0.06645551323890686
2920,0.3954906165599823,0.06479660421609879,0.06709177047014236
2940,0.3959393799304962,0.06664438545703888,0.06712620705366135
2960,0.3963288366794586,0.06474287807941437,0.06848269701004028
2980,0.3966917395591736,0.06634592264890671,0.06581484526395798
3000,0.3973442614078522,0.0631878674030304,0.06720472872257233
3020,0.39796778559684753,0.06764394789934158,0.06657975912094116
3040,0.3981770873069763,0.06479132920503616,0.06512797623872757
3060,0.39872974157333374,0.06754455715417862,0.06639698147773743
3080,0.39894524216651917,0.06473299115896225,0.06545999646186829
3100,0.3991653621196747,0.06557915359735489,0.06620485335588455
3120,0.3993954360485077,0.06649161130189896,0.06505770981311798
3140,0.3997531831264496,0.06440428644418716,0.06528610736131668
3160,0.4001868665218353,0.06318608671426773,0.06706754863262177
3180,0.4004106819629669,0.06466388702392578,0.06541827321052551
3200,0.4008585214614868,0.06524404883384705,0.06397265940904617
3220,0.4011474847793579,0.06388241052627563,0.06570743024349213
3240,0.40152156352996826,0.06268340349197388,0.064582958817482
3260,0.40205779671669006,0.06887032091617584,0.06499316543340683
3280,0.40214860439300537,0.0623304545879364,0.06585322320461273
3300,0.4023173749446869,0.06310243159532547,0.0643555074930191
3320,0.4026157259941101,0.06175027787685394,0.06550685316324234
3340,0.4027520418167114,0.06220696121454239,0.06328171491622925
3360,0.40286269783973694,0.06223640590906143,0.06368100643157959
