Step,loss(train),loss(validate)
20,0.46570828557014465,0.4969506561756134
40,0.41585278511047363,0.4623839855194092
60,0.3694423735141754,0.4400702118873596
80,0.33973512053489685,0.4232621490955353
100,0.3155888617038727,0.4085662364959717
120,0.299335777759552,0.39784330129623413
140,0.27619922161102295,0.3915674090385437
160,0.2542789876461029,0.38879573345184326
180,0.23355326056480408,0.38224273920059204
200,0.2254711091518402,0.37667936086654663
220,0.20722845196723938,0.3711763620376587
240,0.20303049683570862,0.35755717754364014
260,0.18345527350902557,0.34944355487823486
280,0.17991608381271362,0.33965885639190674
300,0.17728117108345032,0.31928205490112305
320,0.16926464438438416,0.3042217791080475
340,0.17725250124931335,0.2992589771747589
360,0.16079264879226685,0.29600533843040466
380,0.16126278042793274,0.26292404532432556
400,0.1541052907705307,0.23750703036785126
420,0.15582691133022308,0.22496511042118073
440,0.14833764731884003,0.21257384121418
460,0.1500818133354187,0.18528050184249878
480,0.14018307626247406,0.1966291218996048
500,0.13968972861766815,0.1698962152004242
520,0.132602721452713,0.17206233739852905
540,0.13336198031902313,0.15472841262817383
560,0.13730664551258087,0.14909450709819794
580,0.1269698590040207,0.14461565017700195
600,0.12848342955112457,0.14901702105998993
620,0.12610450387001038,0.14682692289352417
640,0.12072812765836716,0.13712671399116516
660,0.12030981481075287,0.13883626461029053
680,0.1272081881761551,0.1326291412115097
700,0.11972835659980774,0.13253752887248993
720,0.11652659624814987,0.12649667263031006
740,0.1255185604095459,0.1464928835630417
760,0.11524303257465363,0.12647657096385956
780,0.11586572974920273,0.13000285625457764
800,0.11339357495307922,0.11682012677192688
820,0.11281806230545044,0.12453779578208923
840,0.11208822578191757,0.11999034136533737
860,0.1131705492734909,0.11891333758831024
880,0.11335359513759613,0.11100494861602783
900,0.10954878479242325,0.11187301576137543
920,0.10680835694074631,0.10644875466823578
940,0.11484082043170929,0.1122647225856781
960,0.10788947343826294,0.11160082370042801
980,0.11268573254346848,0.10944417119026184
1000,0.10820795595645905,0.1036665141582489
1020,0.10193486511707306,0.1074371486902237
1040,0.11149822175502777,0.10714400559663773
1060,0.10416334867477417,0.10633310675621033
1080,0.10357940942049026,0.10784079879522324
1100,0.10329317301511765,0.0988379493355751
1120,0.10284940898418427,0.10110854357481003
1140,0.09846483170986176,0.0975247174501419
1160,0.10369585454463959,0.09869977831840515
1180,0.09991390258073807,0.10289423167705536
1200,0.09873897582292557,0.09946870058774948
1220,0.10255522280931473,0.10261181741952896
1240,0.09703922271728516,0.11242291331291199
1260,0.09793312847614288,0.09961840510368347
1280,0.09504342824220657,0.09527438879013062
1300,0.09502331912517548,0.09750142693519592
1320,0.09202307462692261,0.0962037444114685
1340,0.0988641083240509,0.09831693768501282
1360,0.09816687554121017,0.09133253991603851
1380,0.09380771219730377,0.10063103586435318
1400,0.09262563288211823,0.09419652819633484
1420,0.09615130722522736,0.10074000060558319
1440,0.09109295904636383,0.09197811782360077
1460,0.09653468430042267,0.09529253840446472
1480,0.09173966944217682,0.09123924374580383
1500,0.08958102017641068,0.09112332761287689
1520,0.08999338746070862,0.09197286516427994
1540,0.0904989093542099,0.09034260362386703
1560,0.08900532871484756,0.08748499304056168
1580,0.09092569351196289,0.0977274477481842
1600,0.0874343141913414,0.08846299350261688
1620,0.08757991343736649,0.08766491711139679
1640,0.09239882230758667,0.10821564495563507
1660,0.08749940991401672,0.09200271964073181
1680,0.08562064170837402,0.08575108647346497
1700,0.0873437374830246,0.08531420677900314
1720,0.08400485664606094,0.09128323197364807
1740,0.08869506418704987,0.09110395610332489
1760,0.08319534361362457,0.0872235968708992
1780,0.08750555664300919,0.08875751495361328
1800,0.08752701431512833,0.0862271636724472
1820,0.08608654886484146,0.08957460522651672
1840,0.08309487253427505,0.08514600992202759
1860,0.0835280790925026,0.08241409808397293
1880,0.08242329955101013,0.0874253362417221
1900,0.08449693769216537,0.0856856107711792
1920,0.08078793436288834,0.08343611657619476
1940,0.08477191627025604,0.08867911994457245
1960,0.08249667286872864,0.08247120678424835
1980,0.08754544705152512,0.08791838586330414
2000,0.08437982946634293,0.08718575537204742
2020,0.08055265992879868,0.08307437598705292
2040,0.08600472658872604,0.0845014899969101
2060,0.08160734176635742,0.0815487951040268
2080,0.08278007805347443,0.08016863465309143
2100,0.08270323276519775,0.08037905395030975
2120,0.07969915866851807,0.09236864000558853
2140,0.0802002102136612,0.08793573081493378
2160,0.07911450415849686,0.08268866688013077
2180,0.08135157823562622,0.08384191244840622
2200,0.07710002362728119,0.079539954662323
2220,0.07957936823368073,0.08158925920724869
2240,0.07925441116094589,0.07947526127099991
2260,0.07520416378974915,0.08258228003978729
2280,0.07742566615343094,0.08204137533903122
2300,0.07899568974971771,0.07883588969707489
2320,0.07685715705156326,0.07942534238100052
2340,0.07547871768474579,0.07889021933078766
2360,0.08122625201940536,0.08225784450769424
2380,0.07616586238145828,0.07809744030237198
2400,0.07570140063762665,0.07691115140914917
2420,0.07701870054006577,0.08061559498310089
2440,0.0807696059346199,0.07772333920001984
2460,0.07615825533866882,0.07752138376235962
